variable,total_n,valid_0_to_3,refused_code_7,dont_know_code_9,system_missing,unexpected_code,valid_percent,unavailable_percent
DPQ010,8965,8298,4,6,657,0,92.55995538204127,7.440044617958728
DPQ020,8965,8299,2,5,659,0,92.57110987172337,7.428890128276631
DPQ030,8965,8298,3,5,659,0,92.55995538204127,7.440044617958728
DPQ040,8965,8297,4,4,660,0,92.54880089235917,7.451199107640825
DPQ050,8965,8299,2,4,660,0,92.57110987172337,7.428890128276631
DPQ060,8965,8295,3,6,661,0,92.52649191299498,7.47350808700502
DPQ070,8965,8299,2,3,661,0,92.57110987172337,7.428890128276631
DPQ080,8965,8297,2,5,661,0,92.54880089235917,7.451199107640825
DPQ090,8965,8296,2,4,663,0,92.53764640267708,7.462353597322923
DPQ100,8965,5535,1,4,3425,0,61.740100390407136,38.259899609592864
