item_1,item_2,polychoric_r
DPQ010,DPQ010,1
DPQ010,DPQ020,0.7080311824293518
DPQ010,DPQ030,0.5086838428141502
DPQ010,DPQ040,0.5947273477563638
DPQ010,DPQ050,0.5281342199490062
DPQ010,DPQ060,0.6083254906329849
DPQ010,DPQ070,0.546087352358588
DPQ010,DPQ080,0.5208633762598852
DPQ010,DPQ090,0.5308174167492896
DPQ020,DPQ010,0.7080311824293518
DPQ020,DPQ020,1
DPQ020,DPQ030,0.5575521071774723
DPQ020,DPQ040,0.6102282123916913
DPQ020,DPQ050,0.5609202114249533
DPQ020,DPQ060,0.7693903202536552
DPQ020,DPQ070,0.622509845786126
DPQ020,DPQ080,0.6084043083435868
DPQ020,DPQ090,0.7243038398805408
DPQ030,DPQ010,0.5086838428141502
DPQ030,DPQ020,0.5575521071774723
DPQ030,DPQ030,1
DPQ030,DPQ040,0.62920309059842
DPQ030,DPQ050,0.5275256153767697
DPQ030,DPQ060,0.5092270058171627
DPQ030,DPQ070,0.5206856140760826
DPQ030,DPQ080,0.5029568932017179
DPQ030,DPQ090,0.4691018429447594
DPQ040,DPQ010,0.5947273477563638
DPQ040,DPQ020,0.6102282123916913
DPQ040,DPQ030,0.62920309059842
DPQ040,DPQ040,1
DPQ040,DPQ050,0.580875750781943
DPQ040,DPQ060,0.5515228747339006
DPQ040,DPQ070,0.5449704656707127
DPQ040,DPQ080,0.5178634678317398
DPQ040,DPQ090,0.4987140052960752
DPQ050,DPQ010,0.5281342199490062
DPQ050,DPQ020,0.5609202114249533
DPQ050,DPQ030,0.5275256153767697
DPQ050,DPQ040,0.580875750781943
DPQ050,DPQ050,1
DPQ050,DPQ060,0.5411725204693627
DPQ050,DPQ070,0.524597151490558
DPQ050,DPQ080,0.5290867809859121
DPQ050,DPQ090,0.4641875529895474
DPQ060,DPQ010,0.6083254906329849
DPQ060,DPQ020,0.7693903202536552
DPQ060,DPQ030,0.5092270058171627
DPQ060,DPQ040,0.5515228747339006
DPQ060,DPQ050,0.5411725204693627
DPQ060,DPQ060,1
DPQ060,DPQ070,0.6014851249827656
DPQ060,DPQ080,0.5807757750665363
DPQ060,DPQ090,0.724495862842254
DPQ070,DPQ010,0.546087352358588
DPQ070,DPQ020,0.622509845786126
DPQ070,DPQ030,0.5206856140760826
DPQ070,DPQ040,0.5449704656707127
DPQ070,DPQ050,0.524597151490558
DPQ070,DPQ060,0.6014851249827656
DPQ070,DPQ070,1
DPQ070,DPQ080,0.6007187264623175
DPQ070,DPQ090,0.5234523872085517
DPQ080,DPQ010,0.5208633762598852
DPQ080,DPQ020,0.6084043083435868
DPQ080,DPQ030,0.5029568932017179
DPQ080,DPQ040,0.5178634678317398
DPQ080,DPQ050,0.5290867809859121
DPQ080,DPQ060,0.5807757750665363
DPQ080,DPQ070,0.6007187264623175
DPQ080,DPQ080,1
DPQ080,DPQ090,0.5675624179400978
DPQ090,DPQ010,0.5308174167492896
DPQ090,DPQ020,0.7243038398805408
DPQ090,DPQ030,0.4691018429447594
DPQ090,DPQ040,0.4987140052960752
DPQ090,DPQ050,0.4641875529895474
DPQ090,DPQ060,0.724495862842254
DPQ090,DPQ070,0.5234523872085517
DPQ090,DPQ080,0.5675624179400978
DPQ090,DPQ090,1
