"phq9_total","unweighted_n","weighted_percent","standard_error_percent","ci_lower_percent","ci_upper_percent"
0,2754,32.36,0.99,30.35,34.44
1,1101,14.38,0.54,13.31,15.53
2,955,12.15,0.6,10.97,13.43
3,734,9.13,0.62,7.94,10.49
4,565,6.9,0.44,6.05,7.87
5,409,5.09,0.41,4.31,5.99
6,326,3.89,0.21,3.47,4.35
7,252,2.53,0.27,2.03,3.16
8,232,2.78,0.29,2.24,3.45
9,181,2.25,0.27,1.76,2.88
10,154,2.06,0.22,1.66,2.56
11,123,1.24,0.18,0.92,1.67
12,93,1.06,0.19,0.73,1.54
13,63,0.63,0.1,0.45,0.88
14,69,0.96,0.17,0.68,1.37
15,50,0.47,0.11,0.29,0.74
16,43,0.48,0.09,0.32,0.7
17,37,0.37,0.09,0.22,0.6
18,41,0.35,0.08,0.22,0.54
19,19,0.16,0.06,0.07,0.36
20,19,0.22,0.07,0.11,0.43
21,17,0.18,0.04,0.11,0.3
22,15,0.14,0.04,0.08,0.27
23,12,0.11,0.04,0.06,0.23
24,5,0.04,0.02,0.01,0.1
25,3,0.03,0.02,0.01,0.14
26,3,0.05,0.03,0.01,0.19
27,1,0.01,0.01,0,0.07
