variable,response_status,raw_value,n,percent
DPQ010,Don't know,9,6,0.06692693809258227
DPQ010,Refused,7,4,0.044617958728388175
DPQ010,System missing,NA,657,7.328499721137758
DPQ010,Valid response: 0,0,6166,68.77858337981037
DPQ010,Valid response: 1,1,1372,15.303959843837145
DPQ010,Valid response: 2,2,450,5.01952035694367
DPQ010,Valid response: 3,3,310,3.4578918014500837
DPQ020,Don't know,9,5,0.05577244841048522
DPQ020,Refused,7,2,0.022308979364194088
DPQ020,System missing,NA,659,7.350808700501952
DPQ020,Valid response: 0,0,6187,69.01282766313442
DPQ020,Valid response: 1,1,1456,16.240936977133295
DPQ020,Valid response: 2,2,387,4.316787506971556
DPQ020,Valid response: 3,3,269,3.000557724484105
DPQ030,Don't know,9,5,0.05577244841048522
DPQ030,Refused,7,3,0.03346346904629113
DPQ030,System missing,NA,659,7.350808700501952
DPQ030,Valid response: 0,0,5023,56.029001673173454
DPQ030,Valid response: 1,1,1890,21.081985499163412
DPQ030,Valid response: 2,2,621,6.926938092582264
DPQ030,Valid response: 3,3,764,8.522030117122142
DPQ040,Don't know,9,4,0.044617958728388175
DPQ040,Refused,7,4,0.044617958728388175
DPQ040,System missing,NA,660,7.361963190184049
DPQ040,Valid response: 0,0,4164,46.44729503625209
DPQ040,Valid response: 1,1,2682,29.916341327384274
DPQ040,Valid response: 2,2,754,8.41048522030117
DPQ040,Valid response: 3,3,697,7.77467930842164
DPQ050,Don't know,9,4,0.044617958728388175
DPQ050,Refused,7,2,0.022308979364194088
DPQ050,System missing,NA,660,7.361963190184049
DPQ050,Valid response: 0,0,6165,68.76742889012827
DPQ050,Valid response: 1,1,1293,14.422755158951478
DPQ050,Valid response: 2,2,464,5.175683212493029
DPQ050,Valid response: 3,3,377,4.205242610150585
DPQ060,Don't know,9,6,0.06692693809258227
DPQ060,Refused,7,3,0.03346346904629113
DPQ060,System missing,NA,661,7.373117679866146
DPQ060,Valid response: 0,0,6881,76.75404350250976
DPQ060,Valid response: 1,1,968,10.797546012269938
DPQ060,Valid response: 2,2,239,2.6659230340211937
DPQ060,Valid response: 3,3,207,2.308979364194088
DPQ070,Don't know,9,3,0.03346346904629113
DPQ070,Refused,7,2,0.022308979364194088
DPQ070,System missing,NA,661,7.373117679866146
DPQ070,Valid response: 0,0,6862,76.54210819854991
DPQ070,Valid response: 1,1,892,9.949804796430563
DPQ070,Valid response: 2,2,254,2.8332403792526493
DPQ070,Valid response: 3,3,291,3.2459564974902397
DPQ080,Don't know,9,5,0.05577244841048522
DPQ080,Refused,7,2,0.022308979364194088
DPQ080,System missing,NA,661,7.373117679866146
DPQ080,Valid response: 0,0,7422,82.78862242052426
DPQ080,Valid response: 1,1,531,5.92303402119353
DPQ080,Valid response: 2,2,196,2.1862799776910204
DPQ080,Valid response: 3,3,148,1.6508644729503625
DPQ090,Don't know,9,4,0.044617958728388175
DPQ090,Refused,7,2,0.022308979364194088
DPQ090,System missing,NA,663,7.39542665923034
DPQ090,Valid response: 0,0,7976,88.96820970440602
DPQ090,Valid response: 1,1,233,2.5989960959286114
DPQ090,Valid response: 2,2,51,0.5688789737869493
DPQ090,Valid response: 3,3,36,0.4015616285554936
DPQ100,Don't know,9,4,0.044617958728388175
DPQ100,Refused,7,1,0.011154489682097044
DPQ100,System missing,NA,3425,38.20412716118238
DPQ100,Valid response: 0,0,4074,45.443390964863354
DPQ100,Valid response: 1,1,1181,13.17345231455661
DPQ100,Valid response: 2,2,209,2.331288343558282
DPQ100,Valid response: 3,3,71,0.7919687674288901
